id,article_id,coin,polarity,aspects,confidence,ts,zscore_window,zscore,created_at,updated_at
1,2,ETH,0.00000,{hype},0.60000,2025-11-26 19:08:10.000000 +00:00,6,,2025-11-26 22:17:55.689804 +00:00,2025-11-26 22:17:55.689804 +00:00
2,3,DOGE,0.00000,{},0.40000,2025-11-26 19:08:18.000000 +00:00,6,,2025-11-26 22:17:55.695808 +00:00,2025-11-26 22:17:55.695808 +00:00
3,4,BTC,1.00000,{hype},0.76000,2025-11-26 19:09:19.000000 +00:00,6,,2025-11-26 22:17:55.698465 +00:00,2025-11-26 22:17:55.698465 +00:00
4,7,XRP,0.00000,{},0.40000,2025-11-26 19:11:00.000000 +00:00,6,,2025-11-26 22:17:55.704861 +00:00,2025-11-26 22:17:55.704861 +00:00
5,8,DOGE,-1.00000,{},0.63000,2025-11-26 19:13:00.000000 +00:00,6,,2025-11-26 22:17:55.707650 +00:00,2025-11-26 22:17:55.707650 +00:00
6,10,XRP,-1.00000,{},0.71000,2025-11-26 19:19:00.000000 +00:00,6,,2025-11-26 22:17:55.711798 +00:00,2025-11-26 22:17:55.711798 +00:00
7,12,BTC,0.00000,"{hype,regulatory}",0.50000,2025-11-26 19:25:11.000000 +00:00,6,,2025-11-26 22:17:55.715810 +00:00,2025-11-26 22:17:55.715810 +00:00
8,15,ADA,-1.00000,{},0.63000,2025-11-26 19:28:00.000000 +00:00,6,,2025-11-26 22:17:55.721591 +00:00,2025-11-26 22:17:55.721591 +00:00
9,16,MATIC,1.00000,{},0.76000,2025-11-26 19:30:05.000000 +00:00,6,,2025-11-26 22:17:55.723809 +00:00,2025-11-26 22:17:55.723809 +00:00
10,17,USDT,-1.00000,{regulatory},0.79000,2025-11-26 19:30:12.000000 +00:00,6,,2025-11-26 22:17:55.726353 +00:00,2025-11-26 22:17:55.726353 +00:00
11,18,XRP,1.00000,"{hype,regulatory}",0.95000,2025-11-26 19:33:13.000000 +00:00,6,,2025-11-26 22:17:55.729093 +00:00,2025-11-26 22:17:55.729093 +00:00
12,19,BTC,1.00000,{hype},0.68000,2025-11-26 19:42:26.000000 +00:00,6,,2025-11-26 22:17:55.731414 +00:00,2025-11-26 22:17:55.731414 +00:00
13,20,MATIC,0.00000,{},0.40000,2025-11-26 19:48:30.000000 +00:00,6,,2025-11-26 22:17:55.733541 +00:00,2025-11-26 22:17:55.733541 +00:00
14,21,BTC,1.00000,"{hype,security}",0.84000,2025-11-26 19:50:16.000000 +00:00,6,,2025-11-26 22:17:55.735578 +00:00,2025-11-26 22:17:55.735578 +00:00
15,21,ETH,1.00000,"{hype,security}",0.84000,2025-11-26 19:50:16.000000 +00:00,6,,2025-11-26 22:17:55.735578 +00:00,2025-11-26 22:17:55.735578 +00:00
16,22,BTC,1.00000,"{hype,regulatory}",0.68000,2025-11-26 19:52:01.000000 +00:00,6,,2025-11-26 22:17:55.738435 +00:00,2025-11-26 22:17:55.738435 +00:00
17,22,DOGE,1.00000,"{hype,regulatory}",0.68000,2025-11-26 19:52:01.000000 +00:00,6,,2025-11-26 22:17:55.738435 +00:00,2025-11-26 22:17:55.738435 +00:00
18,23,BTC,-1.00000,{},0.63000,2025-11-26 19:53:05.000000 +00:00,6,-1.96396,2025-11-26 22:17:55.740814 +00:00,2025-11-26 22:17:55.740814 +00:00
630,311,USDT,-1.00000,{},0.63000,2025-11-27 08:50:10.000000 +00:00,6,,2025-11-27 11:06:11.295487 +00:00,2025-11-27 11:06:11.295487 +00:00
631,312,SOL,0.00000,{security},0.40000,2025-11-27 08:52:10.000000 +00:00,6,,2025-11-27 11:06:11.309308 +00:00,2025-11-27 11:06:11.309308 +00:00
